categoryName,name,description,vehicleType,order,icon,image
Motor,JUNTA DEL CÁRTER,Junta del cárter,car,53,gasket,
Motor,SENSOR DE PRESIÓN DE ACEITE,Sensor de presión de aceite,car,54,sensor,
Motor,ENFRIADOR DE ACEITE,Enfriador de aceite,car,55,oil-cooler,
Motor,SENSOR DEL NIVEL DE ACEITE DEL MOTOR,Sensor del nivel de aceite del motor,car,56,sensor,
Motor,TUBO DE ASPIRACÓN DE BOMBA DEL ACEITE,Tubo de aspiración de la bomba de aceite,car,57,tube,
Motor,CORREA TRAPEZOIDAL,Correa trapezoidal,car,58,belt,
Motor,POLEA TENSORA CORREA DENTADA,Polea tensora para correa dentada,car,59,tensioner,
Motor,TENSOR DE CORREA,Tensor de correa,car,60,tensioner,
Motor,POLEA DE INVERSIÓN,Polea de inversión,car,61,pulley,
Motor,JUNTA DE TURBOCOMPRESOR,Junta del turbocompresor,car,62,gasket,
Motor,TRANSDUCTOR DE PRESIÓN,Transductor de presión,car,63,transducer,
Motor,MANGUERA TURBO,Manguera del turbo,car,64,hose,
Motor,SENSOR DE PRESIÓN DE ADMISIÓN,Sensor de presión de admisión,car,65,sensor,
Motor,SENSOR DE PRESIÓN DEL AIRE DE ADMISIÓN,Sensor de presión del aire de admisión,car,66,sensor,
Motor,CABLE DEL ACELERADOR,Cable del acelerador,car,67,cable,
Motor,VÁLVULA DE ALIVIO,Válvula de alivio,car,68,valve,
Motor,BOMBA DE AGUA,Bomba de agua del motor,car,69,water-pump,
Motor,TERMOSTATO,Termostato del motor,car,70,thermostat,
Motor,RADIADOR DE MOTOR,Radiador del motor,car,71,radiator,
Motor,JUEGO DE MONTAJE TURBOCOMPRESOR,Juego de montaje del turbocompresor,car,72,turbo-kit,
Motor,VASO DE EXPASIÓN,Vaso de expansión,car,73,expansion-tank,
Motor,SENSOR DE TEMPERATURA DEL REFRIGERANTE,Sensor de temperatura del refrigerante,car,74,sensor,
Motor,ANTICOGELNATE,Anticongelante,car,75,antifreeze,
Motor,VENTILADOR DEL RADIADOR,Ventilador del radiador,car,76,fan,
Motor,TAPA DE DEPOSITO DE AGUA,Tapa del depósito de agua,car,77,cap,
Motor,MANGUITOS DE RADIADOR,Manguitos del radiador,car,78,hose,
Motor,JUNTA DE AGUA REFRIGERANTE,Junta de agua refrigerante,car,79,gasket,
Motor,EMBRAGUE DEL VENTILADOR,Embrague del ventilador,car,80,clutch,
Motor,TERMOCONTACTO VENTILADO,Termocontacto ventilado,car,81,thermo-switch,
Motor,BOBINA DE ENCENDIDO,Bobina de encendido,car,82,ignition-coil,
Motor,BUJÍA DE ENCENDIDO,Bujía de encendido,car,83,spark-plug,
Motor,BUJÍA DE PRECALENTAMIENTO,Bujía de precalentamiento,car,84,glow-plug,
Motor,SENSOR DE ARBOL DE LEVAS,Sensor del árbol de levas,car,85,sensor,
Motor,CABLES DE BUJÍAS,Cables de bujías,car,86,spark-plug-wire,
Motor,SENSOR DE CIGÜEÑAL,Sensor del cigüeñal,car,87,sensor,
Motor,TAPA DE DELCO,Tapa del delco,car,88,cap,
Motor,ROTOR DE DISTRIBUCIÓN,Rotor de distribución,car,89,rotor,
Motor,FILTRO DE ACEITE,Filtro de aceite,car,90,oil-filter,
Motor,FILTRO DE AIRE,Filtro de aire,car,91,air-filter,
Motor,FILTRO DE COMBUSTIBLE,Filtro de combustible,car,92,fuel-filter,
Motor,SISTEMA DE VENTILACIÓN DE CÁRTER,Sistema de ventilación del cárter,car,93,ventilation,
Motor,JUNTA DE COLECTOR DE ADMISIÓN,Junta del colector de admisión,car,94,gasket,
Motor,JUNTA DE COLECTOR DE ESCAPE,Junta del colector de escape,car,95,gasket,
Motor,COLECTORES DE ADMISIÓN,Colectores de admisión,car,96,manifold,
Motor,VÁLVULA DE REGULACIÓN DEL AIRE DE ADMISIÓN,Válvula de regulación del aire de admisión,car,97,valve,
Motor,SISTEMA ELÉCTRICO DEL MOTOR,Sistema eléctrico del motor,car,98,electrical,
Motor,SONDA LAMBDA,Sonda lambda,car,99,lambda-sensor,
Motor,JUNTA INYECTOR,Junta del inyector,car,100,gasket,
Motor,BOMBA DE INYECCIÓN,Bomba de inyección,car,101,injection-pump,
Motor,REGULADOR DE PRESIÓN DE COMBUSTIBLE,Regulador de presión de combustible,car,102,pressure-regulator,
Motor,VÁLVULA EGR,Válvula EGR,car,103,egr-valve,
Motor,REFRIGERADOR DE GAS DE ESCAPE,Refrigerador de gas de escape,car,104,exhaust-cooler,
Motor,POLEA DE CIGÜEÑAL,Polea del cigüeñal,car,105,pulley,
Motor,TORNILLO DE LA POLEA,Tornillo de la polea,car,106,bolt,
Motor,DEPRESOR DE FRENO,Depresor de freno,car,107,brake-booster,
Motor,SELLADOR PARA EL BLOQUE DEL MOTOR,Sellador para el bloque del motor,car,108,sealant,
Motor,SELLADOR DE USO GENERAL,Sellador de uso general,car,109,sealant,
Motor,FIJADORES DE ROSCA,Fijadores de rosca,car,110,thread-locker,
Motor,PRODUCTOS DE LIMPIEZA DEL MOTOR Y SISTEMA,Productos de limpieza del motor y sistema,car,111,cleaner,
Motor,TINTURA DE DETECCIÓN DE FUGAS,Tintura de detección de fugas,car,112,leak-detector,
Motor,PRODUCTO RECTIFICADOR DE VÁLVULAS,Producto rectificador de válvulas,car,113,valve-grinding,
Motor,SPRAYS Y AEROSOLES TÉCNICOS,Sprays y aerosoles técnicos,car,114,spray,
Motor,PINTUA DEL MOTOR Y ALTA TEMPERATURA,Pintura del motor y alta temperatura,car,115,high-temp-paint,
Motor,ADITIVOS DE ACEITE DE MOTOR,Aditivos de aceite de motor,car,116,oil-additive,
Motor,ADITIVOS DE TURBOCOMPRESOR,Aditivos de turbocompresor,car,117,turbo-additive,
Motor,KIT DE JUNTAS TÓRICAS DE LA CAMISA DEL CILINDRO,Kit de juntas tóricas de la camisa del cilindro,car,118,oring-kit,
Motor,RETÉN DE LA BOMBA DE ACEITE,Retén de la bomba de aceite,car,119,seal,
Motor,RETÉN DEL ÁRBOL INTERMEDIO,Retén del árbol intermedio,car,120,seal,
Motor,TORNILLOS PARA BIELA Y TURCA PARA BIELA,Tornillos para biela y tuerca para biela,car,121,bolt,
Motor,CAMISA DE CILINDRO,Camisa de cilindro,car,122,cylinder-liner,
Motor,CASQUILLO DE PIE DE BIELA,Casquillo de pie de biela,car,123,bearing,
Motor,BIELA,Biela,car,124,connecting-rod,
Motor,CIGÜEÑAL,Cigüeñal,car,125,crankshaft,
Motor,HERRAMIENTAS PARA MOTOR,Herramientas para motor,car,126,tools,
Motor,ÁRBOL INTERMEDIO DE COMPENSAIÓN Y ÁRBOL DE,Árbol intermedio de compensación y árbol de,car,127,intermediate-shaft,
Motor,TORNILLO DEL COJINETE DEL CIGÜEÑAL,Tornillo del cojinete del cigüeñal,car,128,bolt,
Motor,JUEGO DE JUNTAS CULATA,Juego de juntas de culata,car,129,head-gasket-set,
Sistema de Combustible,BOMBA DE COMBUSTIBLE,Bomba de combustible,car,130,fuel-pump,
Sistema de Combustible,INYECTORES,Inyectores de combustible,car,131,injector,
Sistema de Combustible,BOMBA DE INYECCIÓN,Bomba de inyección de combustible,car,132,injection-pump,
Sistema de Combustible,CAUDALÍMETRO,Caudalímetro de combustible,car,133,flow-meter,
Sistema de Combustible,CUERPO DE MARAPISO,Cuerpo de mariposa,car,134,throttle-body,
Sistema de Combustible,JUNTA DE INYECTOR,Junta del inyector,car,135,gasket,
Sistema de Combustible,TUBO DE RETORNO DE COMBUSTIBLE,Tubo de retorno de combustible,car,136,return-tube,
Sistema de Combustible,RELÉ DE BOMBA DE COMBUSTIBLE,Relé de bomba de combustible,car,137,relay,
Sistema de Combustible,JUNTA DE LA BOMBA DE COMBUSTIBLE,Junta de la bomba de combustible,car,138,gasket,
Sistema de Combustible,SONDA LAMBDA,Sonda lambda,car,139,lambda-sensor,
Sistema de Combustible,SENSOR TPS,Sensor TPS,car,140,sensor,
Sistema de Combustible,ARANDELA DEL INYECTOR,Arandela del inyector,car,141,washer,
Sistema de Combustible,REGULADOR DE PRESIÓN DE COMBUSTIBLE,Regulador de presión de combustible,car,142,pressure-regulator,
Sistema de Combustible,KIT DE REPARACIÓN DEL INYECTOR,Kit de reparación del inyector,car,143,injector-repair-kit,
Sistema de Combustible,RAMPA DE INYECTOR,Rampa de inyector,car,144,injector-rail,
Sistema de Combustible,RAMPA DE INYECCIÓN,Rampa de inyección,car,145,injection-rail,
Sistema de Combustible,ACUMULADOR DE PRESIÓN DE COMBUSTIBLE,Acumulador de presión de combustible,car,146,pressure-accumulator,
Sistema de Combustible,FILTRO DE COMBUSTIBLE,Filtro de combustible,car,147,fuel-filter,
Sistema de Combustible,VÁLVULA DEL FILTRO DE ACEITE Y JUNTA,Válvula del filtro de aceite y junta,car,148,valve,
Sistema de Combustible,DEPOSITO DE COMBUSTIBLE,Depósito de combustible,car,149,fuel-tank,
Sistema de Combustible,TAPA DE DEPÓSITO DE COMBUSTIBLE,Tapa del depósito de combustible,car,150,cap,
Sistema de Combustible,VÁLVULA DE VENTILACIÓN DEL DEPÓSITO DEL COMBUSTIBLE,Válvula de ventilación del depósito de combustible,car,151,vent-valve,
Sistema de Combustible,SENSOR DE LA PRESIÓN DEL COMBUSTIBLE,Sensor de la presión del combustible,car,152,sensor,
Sistema de Combustible,SENSOR DE NIVEL DE COMBUSTIBLE,Sensor de nivel de combustible,car,153,sensor,
Sistema de Combustible,SENSOR DEL PEDAL DE ACELERADOR,Sensor del pedal de acelerador,car,154,sensor,
Sistema de Combustible,SENSOR DE TEMPERATURA DEL COMBUSTIBLE,Sensor de temperatura del combustible,car,155,sensor,
Sistema de Combustible,JUNTA DEL AFORADOR DE COMBUSTIBLE,Junta del aforador de combustible,car,156,gasket,
Sistema de Combustible,UNIDAD DEL CONTROL MANDO DE MOTOR,Unidad de control y mando del motor,car,157,ecu,
Sistema de Combustible,PIEZAS DEL CARBURADOR,Piezas del carburador,car,158,carburetor-parts,
Sistema de Combustible,KIT DE REPARACIÓN DEL CARBURADOR,Kit de reparación del carburador,car,159,carburetor-repair-kit,
Sistema de Combustible,BRIDA DE CARBURADOR,Brida de carburador,car,160,carburetor-flange,
Sistema de Combustible,LÍQUIDO DE ESCAPE DIPESEL / ADBLUE,Líquido de escape diésel / AdBlue,car,161,adblue,
Sistema de Combustible,ADITIVOS DE COMBUSTIBLE,Aditivos de combustible,car,162,fuel-additive,
Sistema de Combustible,JUEGO DE REPARACIÓN DE BOMBA DE COMBUSTIBLE,Juego de reparación de bomba de combustible,car,163,fuel-pump-repair-kit,
Sistema de Combustible,VÁLVULA DE CORTE DE INYECCIÓN,Válvula de corte de inyección,car,164,cutoff-valve,
Sistema de Combustible,TERMOSTATO ENRIQUECIMIENTO ARRANQUE EN FRIO,Termostato de enriquecimiento para arranque en frío,car,165,thermostat,
Sistema de Combustible,SENSOR DE AGUA SISTEMA DE COMBUSTIBLE,Sensor de agua del sistema de combustible,car,166,sensor,
Sistema de Combustible,JUNTA DE LA TUBERÍA DE COMBUSTIBLE,Junta de la tubería de combustible,car,167,gasket,
Sistema de Combustible,BISAGRA DE DEPÓSITO,Bisagra del depósito,car,168,hinge,
Sistema de Combustible,JUNTA TÓRICA DE LA BOMBA DE INYECCIÓN,Junta tórica de la bomba de inyección,car,169,oring,
Sistema de Combustible,ELEMENTO DE AJUSTE DE LA MARIPOSA,Elemento de ajuste de la mariposa,car,170,throttle-adjustment,
Sistema de Combustible,REGULADOR RELENTÍ,Regulador de ralentí,car,171,idle-regulator,
Sistema de Combustible,SISTEMA DE INYECCIÓN,Sistema de inyección,car,172,injection-system,
Sistema de Combustible,SENSOR DE PRESIÓN DEPÓSITO DE COMBUSTIBLE,Sensor de presión del depósito de combustible,car,173,sensor,
Sistema de Combustible,HERRAMIENTAS PARA EL SISTEMA DE COMBUSTIBLE,Herramientas para el sistema de combustible,car,174,tools,
Correas cadenas,Bomba de agua + Kit de distribución,Kit completo de bomba de agua y distribución,car,175,water-pump,
Correas cadenas,KIT DE DISTRIBUCIÓN,Kit completo de distribución,car,176,timing-belt,
Correas cadenas,BOMBA DE AGUA,Bomba de agua,car,177,water-pump,
Correas cadenas,CORREA DE DISTRIBUCIÓN,Correa de distribución,car,178,timing-belt,
Correas cadenas,CORREA POLY V,Correa poly V,car,179,poly-v-belt,
Correas cadenas,KIT DE CORREA POLY V,Kit completo de correa poly V,car,180,poly-v-kit,
Correas cadenas,POLEA TENSORA CORREA DENTADA,Polea tensora para correa dentada,car,181,tensioner,
Correas cadenas,TENSOR DE LA CORREA DE DISTRIBUCIÓN,Tensor de la correa de distribución,car,182,tensioner,
Correas cadenas,POLEA INVERSIÓN / GUÍA CORREA DE DISTRIBUCÍON,Polea de inversión y guía para correa de distribución,car,183,pulley,
Correas cadenas,AMORTIGUADOR HIDRÁULICO,Amortiguador hidráulico,car,184,hydraulic-damper,
Correas cadenas,TAPA DE CORREA DE DISTRIBUCIÓN,Tapa de correa de distribución,car,185,cover,
Correas cadenas,POLEA TENSORA CORREA DENTADA,Polea tensora para correa dentada,car,186,tensioner,
Correas cadenas,TENSOR DE CORREA,Tensor de correa,car,187,tensioner,
Correas cadenas,POLEA DE INVERSIÓN,Polea de inversión,car,188,pulley,
Correas cadenas,CORREA TRAPEZOIDAL,Correa trapezoidal,car,189,belt,
Correas cadenas,AMORTIGUADOR DE LA CORREA TRAPECIAL POLI V,Amortiguador de la correa trapecial poli V,car,190,damper,
Correas cadenas,RODILLO GUÍA / DESVIACIÓN CORREA TRAPECIAL,Rodillo guía y desviación para correa trapecial,car,191,roller,
Correas cadenas,KIT DE MONTAJE DE LA CADENA DE DISTRIBUCIÓN,Kit de montaje de la cadena de distribución,car,192,timing-chain-kit,
Correas cadenas,TENSOR DE CADENA DE DISTRIBUCIÓN,Tensor de cadena de distribución,car,193,tensioner,
Correas cadenas,CADENA DE ACCIONAMIENTO,Cadena de accionamiento,car,194,drive-chain,
Correas cadenas,CARRIL DE DESLIZAMIENTO,Carril de deslizamiento,car,195,rail,
Correas cadenas,POLEA DE CIGÜEÑAL,Polea del cigüeñal,car,196,pulley,
Correas cadenas,POLEA LIBRE DEL ALTERNADOR,Polea libre del alternador,car,197,pulley,
Correas cadenas,TORNILLO DE POLEA,Tornillo de polea,car,198,bolt,
Correas cadenas,POLEA SERVOBOMBA,Polea de servobomba,car,199,pulley,
Correas cadenas,MANGUITO FLEXIBLE ACOPLAMIENTO,Manguito flexible de acoplamiento,car,200,flexible-coupling,
Correas cadenas,JUNA DE TENSOR DE LA CADENA DE DISTRIBUCIÓN,Junta del tensor de la cadena de distribución,car,201,gasket,
Correas cadenas,POLEA TENSORA CORREA TRAPEZOIDAL,Polea tensora para correa trapezoidal,car,202,tensioner,
Correas cadenas,HERRAMIENTAS PARA CORREAS / CADENAS,Herramientas para correas y cadenas,car,203,tools,
Neumaticos y productos relacionados,NEUMÁTICOS,Neumáticos para vehículos,car,204,tires,
Neumaticos y productos relacionados,TAPACUBOS,Tapacubos para ruedas,car,205,hubcap,
Neumaticos y productos relacionados,JUEGO DE FUNDAS PARA NEUMÁTICOS,Juego de fundas para neumáticos,car,206,tire-covers,
Neumaticos y productos relacionados,CUÑAS PARA RUEDAS,Cuñas para ruedas,car,207,wheel-chock,
Neumaticos y productos relacionados,LLAVES DE CRUCETA,Llaves de cruceta,car,208,wheel-wrench,
Neumaticos y productos relacionados,CADENAS PARA NIEVE,Cadenas para nieve,car,209,snow-chains,
Neumaticos y productos relacionados,GATO PARA COCHES,Gato para coches,car,210,jack,
Neumaticos y productos relacionados,COMPRESOR DE AIRE,Compresor de aire,car,211,air-compressor,
Neumaticos y productos relacionados,KIT DE REPARACIÓN DE NEUMÁTICO,Kit de reparación de neumático,car,212,tire-repair-kit,
Neumaticos y productos relacionados,TORNILLOS DE RUEDA,Tornillos de rueda,car,213,wheel-bolt,
Neumaticos y productos relacionados,ENSANCHAMIENTO ANCHO VÍA,Ensanchamiento de ancho de vía,car,214,wheel-spacer,
Neumaticos y productos relacionados,PRODUCTOS DE LIMPIEZA Y CUIDADO INTERIOR DE AUT,Productos de limpieza y cuidado interior de automóviles,car,215,interior-cleaner,
Neumaticos y productos relacionados,PASTA DE MONTAJE PARA TUBOS DE ESCAPE,Pasta de montaje para tubos de escape,car,216,exhaust-paste,
Neumaticos y productos relacionados,ADHEVISO DE CAUCHO,Adhesivo de caucho,car,217,rubber-adhesive,
Neumaticos y productos relacionados,CONTROL DE PRESIÓN DE NEUMÁTICOS,Control de presión de neumáticos,car,218,tire-pressure-monitor,
Neumaticos y productos relacionados,TUERCAS DE RUEDA,Tuercas de rueda,car,219,wheel-nut,
Frenos,DISCOS DE FRENOS,Discos de frenos,car,220,brake-disc,
Frenos,PASTILLAS DE FRENO,Pastillas de freno,car,221,brake-pad,
Frenos,KIT DE REPARACIÓN PINZA DE FRENOS,Kit de reparación de pinza de frenos,car,222,brake-caliper-repair-kit,
Frenos,ÉMBOLO PINZA DE FRENO,Émbolo de pinza de freno,car,223,brake-piston,
Frenos,PASADOR DE PASTILLAS DE FRENO,Pasador de pastillas de freno,car,224,brake-pin,
Frenos,SOPORTE PINZA DWE FRENO,Soporte de pinza de freno,car,225,brake-bracket,
Frenos,INTERRUPTOR DE LUZ DE FRENO,Interruptor de luz de freno,car,226,brake-light-switch,
Frenos,JUEGO DE FRENOS,Juego de frenos,car,227,brake-kit,
Frenos,PROTECTOR DE DISCO DE FRENO,Protector de disco de freno,car,228,brake-disc-protector,
Frenos,ZAPATAS DE FRENO,Zapatas de freno,car,229,brake-shoe,
Frenos,TAMBOR DE FRENO,Tambor de freno,car,230,brake-drum,
Frenos,JUEGO DE ACCESORIOS ZAPATAS DE FRENO,Juego de accesorios para zapatas de freno,car,231,brake-shoe-kit,
Frenos,KIT DE FRENO DE TAMBOR,Kit de freno de tambor,car,232,brake-drum-kit,
Frenos,LATIGUILLOS DE FRENO,Látiguillos de freno,car,233,brake-hose,
Frenos,LIQUIDO DE FRENO,Líquido de freno,car,234,brake-fluid,
Frenos,TUBERIAS DE FRENO,Tuberías de freno,car,235,brake-pipe,
Frenos,ACUMULADOR DE PRESIÓN DEL SISTEMA DE FRENOS,Acumulador de presión del sistema de frenos,car,236,brake-pressure-accumulator,
Frenos,CABLE DE FRENO DE MANO,Cable de freno de mano,car,237,handbrake-cable,
Frenos,ZAPATAS DE FRENO DE MANO,Zapatas de freno de mano,car,238,handbrake-shoe,
Frenos,MANDO DEL FRENO MANO ELÉCTRO,Mando del freno de mano eléctrico,car,239,handbrake-lever,
Frenos,SENSOR ABS,Sensor ABS,car,240,abs-sensor,
Frenos,ANILLO DE SENSOR DE ABS,Anillo de sensor de ABS,car,241,abs-ring,
Frenos,MODULO ABS,Módulo ABS,car,242,abs-module,
Frenos,CILINDRO PRINCIPAL DE FRENO,Cilindro principal de freno,car,243,brake-master-cylinder,
Frenos,KIT DE REPARACIÓN DE FRENO,Kit de reparación de freno,car,244,brake-repair-kit,
Frenos,KIT DE REPARACIÓN DE LA BOMBA DE FRENO,Kit de reparación de la bomba de freno,car,245,brake-pump-repair-kit,
Frenos,DEPOSITO LIQUIDO DE FRENOS,Depósito de líquido de frenos,car,246,brake-fluid-reservoir,
Frenos,CILINDRO DE FRENO RUEDA,Cilindro de freno de rueda,car,247,brake-wheel-cylinder,
Frenos,KIT DE REPARACIÓN DEL BOMBIN DE FRENO,Kit de reparación del bombín de freno,car,248,brake-cylinder-repair-kit,
Frenos,SERVOFRENO,Servofreno,car,249,brake-booster,
Frenos,DEPRESOR DE FENO,Depresor de freno,car,250,brake-depressor,
Frenos,REPARTIDO DE FRENO,Repartidor de freno,car,251,brake-proportioning-valve,
Frenos,PRODUCTOS DE LIMPIEZA DEL FRENO Y EMBRAGUE,Productos de limpieza del freno y embrague,car,252,brake-cleaner,
Frenos,PINTURA PINZA DE FENO,Pintura de pinza de freno,car,253,brake-caliper-paint,
Frenos,SPRAYS Y AEROSOLES TÉCNICOS,Sprays y aerosoles técnicos,car,254,spray,
Frenos,PASTA DE MONTAJE PARA TUBOS DE ESCAPE,Pasta de montaje para tubos de escape,car,255,exhaust-paste,
Frenos,LUBRICANTES,Lubricantes para frenos,car,256,lubricant,
Frenos,KIT DE EPARACIÓN EJE DE FRENO DE ESTACIONAMIENTO,Kit de reparación del eje de freno de estacionamiento,car,257,parking-brake-repair-kit,
Frenos,SENSOR DE ACELERACIÓN LONGITUDINAL / TRANSVERSAL,Sensor de aceleración longitudinal y transversal,car,258,acceleration-sensor,
Frenos,RELÉ SAB,Relé SAB,car,259,relay,
Frenos,SENSOR DE RECORRIDO DEL PEDAL,Sensor de recorrido del pedal,car,260,pedal-sensor,
Frenos,UNIDAD DE CONTROL DEL ABS / ASR,Unidad de control del ABS / ASR,car,261,abs-control-unit,
Frenos,FORRO DE FRENOS ALTO RENDIMIENTO,Forro de frenos de alto rendimiento,car,262,high-performance-brake-lining,
Frenos,FRENO DE DISCO ALTO RENDIMIENTO,Freno de disco de alto rendimiento,car,263,high-performance-brake-disc,
Frenos,HERRAMIENTAS DE FRENO,Herramientas de freno,car,264,brake-tools,
Frenos,FRENO DE MANO,Freno de mano,car,265,handbrake,
Frenos,FRENO DE TAMBOR,Freno de tambor,car,266,brake-drum,
Filtros,FILTRO DE ACEITE,Filtro de aceite,car,267,oil-filter,
Filtros,FILTRO DE AIRE,Filtro de aire,car,268,air-filter,
Filtros,FILTRO DE HABITÁCULO,Filtro de habitáculo,car,269,cabin-filter,
Filtros,FILTRO DE COMBUSTIBLE,Filtro de combustible,car,270,fuel-filter,
Filtros,FILTRO DE BOMBA DE COMBUSTIBLE,Filtro de bomba de combustible,car,271,fuel-pump-filter,
Filtros,JUEGO DE FILTRO,Juego de filtros,car,272,filter-kit,
Filtros,FILTRO CAJA DE CAMBIOS AUTOMATICA,Filtro de caja de cambios automática,car,273,transmission-filter,
Filtros,KIT PIEZAS CAMBIO ACEITE CAJA AUTOMÁTICA,Kit de piezas para cambio de aceite de caja automática,car,274,transmission-oil-change-kit,
Filtros,FILTRO DESHIDRATADOR,Filtro deshidratador,car,275,dehydrator-filter,
Filtros,FILTRO HIDRÁULICO DE DIRECCIÓN,Filtro hidráulico de dirección,car,276,power-steering-filter,
Filtros,FILTRO DE AIRE DEPORTIVO,Filtro de aire deportivo,car,277,sport-air-filter,
Filtros,JUNTA DEL SOPORTE DEL FILTRO DE ACEITTE DEL MOTOR,Junta del soporte del filtro de aceite del motor,car,278,gasket,
Filtros,MANGUITO DE ADMISIÓN DEL MOTOR,Manguito de admisión del motor,car,279,intake-hose,
Filtros,VÁLVULA DEL FILTRO DE COMBUSTIBLE,Válvula del filtro de combustible,car,280,valve,
Filtros,CÁRTER DEL FILTRO DE COMBUSTIBLE,Cárter del filtro de combustible,car,281,filter-housing,
Filtros,SOPORTE DE LA CAJA DEL FILTRO DE AIRE,Soporte de la caja del filtro de aire,car,282,air-filter-bracket,
Filtros,FILTRO DE AIRE SECUNDARIO,Filtro de aire secundario,car,283,secondary-air-filter,
Filtros,LLAVES PARA FILTROS,Llaves para filtros,car,284,filter-wrench,
Aceite y líquidos,ACEITE DE MOTOR,Aceite de motor,car,285,oil,
Aceite y líquidos,ANTICONGELANTE,Anticongelante,car,286,antifreeze,
